case,family,value,stego_psnr,stego_ssim,correct_psnr,correct_ssim,wrong_psnr,wrong_ssim,key_security_gap,composite_score
param_es_050_00079,edit_strength,0.50,23.3697,0.969836,24.9411,0.981216,22.2820,0.962786,0.018430,0.999646
param_es_060_00079,edit_strength,0.60,22.3792,0.960685,25.5507,0.982798,22.0738,0.958877,0.023921,1.006719
param_es_070_00079,edit_strength,0.70,21.3390,0.949238,23.7641,0.975026,21.4358,0.952121,0.022905,0.997550
param_nf_003_00079,noise_flip_scale,0.03,24.0795,0.975593,25.9470,0.984776,23.4203,0.972462,0.012315,0.997091
param_nf_005_00079,noise_flip_scale,0.05,22.3792,0.960685,25.5507,0.982798,22.0738,0.958877,0.023921,1.006719
param_nf_008_00079,noise_flip_scale,0.08,21.4183,0.951463,25.5063,0.982208,21.6172,0.955626,0.026583,1.008791
