case,comparison,reference,candidate,psnr,ssim,mae,rmse
hq_param_es_070_00079,correct recover,D:\thesis\experiments\diffstega_outputs_hq\hq_param_es_070\00079.png,D:\thesis\experiments\diffstega_outputs_hq\hq_param_es_070\00079_rec_w_2000.png,23.9771,0.975416,10.9421,16.1318
hq_param_es_070_00079,wrong recover,D:\thesis\experiments\diffstega_outputs_hq\hq_param_es_070\00079.png,D:\thesis\experiments\diffstega_outputs_hq\hq_param_es_070\00079_rec_wo_2000.png,20.7548,0.946509,15.6853,23.3777
hq_param_nf_003_00079,stego,D:\thesis\experiments\diffstega_outputs_hq\hq_param_nf_003\00079.png,D:\thesis\experiments\diffstega_outputs_hq\hq_param_nf_003\00079_hide_pw_2000.png,21.4929,0.956050,14.4634,21.4731
hq_param_nf_003_00079,correct recover,D:\thesis\experiments\diffstega_outputs_hq\hq_param_nf_003\00079.png,D:\thesis\experiments\diffstega_outputs_hq\hq_param_nf_003\00079_rec_w_2000.png,25.5002,0.982912,9.1547,13.5372
hq_param_nf_003_00079,wrong recover,D:\thesis\experiments\diffstega_outputs_hq\hq_param_nf_003\00079.png,D:\thesis\experiments\diffstega_outputs_hq\hq_param_nf_003\00079_rec_wo_2000.png,22.1640,0.963759,13.7027,19.8765
hq_param_nf_005_00079,stego,D:\thesis\experiments\diffstega_outputs_hq\hq_param_nf_005\00079.png,D:\thesis\experiments\diffstega_outputs_hq\hq_param_nf_005\00079_hide_pw_2000.png,20.5685,0.941586,15.7398,23.8844
hq_param_nf_005_00079,correct recover,D:\thesis\experiments\diffstega_outputs_hq\hq_param_nf_005\00079.png,D:\thesis\experiments\diffstega_outputs_hq\hq_param_nf_005\00079_rec_w_2000.png,24.8765,0.979801,9.6924,14.5451
hq_param_nf_005_00079,wrong recover,D:\thesis\experiments\diffstega_outputs_hq\hq_param_nf_005\00079.png,D:\thesis\experiments\diffstega_outputs_hq\hq_param_nf_005\00079_rec_wo_2000.png,21.2330,0.950981,14.8019,22.1253
hq_param_nf_008_00079,stego,D:\thesis\experiments\diffstega_outputs_hq\hq_param_nf_008\00079.png,D:\thesis\experiments\diffstega_outputs_hq\hq_param_nf_008\00079_hide_pw_2000.png,19.6575,0.931315,18.0402,26.5256
hq_param_nf_008_00079,correct recover,D:\thesis\experiments\diffstega_outputs_hq\hq_param_nf_008\00079.png,D:\thesis\experiments\diffstega_outputs_hq\hq_param_nf_008\00079_rec_w_2000.png,25.7297,0.983647,9.1474,13.1843
